TOPICID,No,Aspect,System Response,,,,,,,,,,,
SCS-TIMING-2,7,風力発電のデメリット,風力発電の一番のデメリットは，風の状況により発電量が不安定になることです．当然ですが，無風の状態で風車が回らなければ，電気をつくることができません．逆に，台風のような強すぎる風でも，発電施設が破損する恐れがあります．また，一定以上の風が常に吹いている場所は限られるので，発電施設の設置場所も事実上限られてきます．,,,,,,,,,,,
SCS-TIMING-2,8,風力発電の人への影響,低周波音や超低周波音による人体への影響として，心血管系（血圧、心拍数など）の変化や，集中力の欠如，めまい，倦怠感，睡眠障害，鼓膜の圧迫感，振動感などが報告されています．,,,,,,,,,,,
SCS-TIMING-2,9,風力発電の年間電力需要量に対する自然エネルギーの割合,日本全体の年間電力需要量に対する自然エネルギーの割合は2021年の平均値では20.2\%となり，2020年の年平均19.1%から1ポイント増加しました．,,,,,,,,,,,
SCS-TIMING-2,10,風力発電の分布,特に東北に多く見られることから，風力発電所は岩手県や秋田県，山形県，福島県に点在していますが，これは日本に設置されている風力発電所でも一部にすぎません．多くの風を受けることができ，年間平均風速が比較的大きいもう一つの場所が海岸線になります．そのため日本では内陸部よりも海岸線に多くの風力発電が置かれています． ,,,,,,,,,,,
SCS-TIMING-2,11,風力発電に必要な風速,風力発電で発電するためには風が必要です．当然ながら，風がよく吹く地域でなければいけません．一般的に，年間風速6m以上の地域が風力発電に向いていると言われています．,,,,,,,,,,,
SCS-TIMING-2,12,風力発電のコスパ ,風力発電の設置コストは1kWあたり22万円で，年間のメンテナンス費用が1kWあたり0.6万円です．この金額を踏まえると，風力発電投資の利回りは平均10％程度になります．風量が多いなど条件が良いと，20％ほどになる物件もあるのです．,,,,,,,,,,,
SCS-TIMING-2,13,風力発電と SDGs との関係性,SDGsの13番に「気候変動から地球を守るために，今すぐ行動を起こそう」があります．環境負荷を減らすために再生可能エネルギーが注目されており，その中でもっとも導入が進んでいるのが風力発電です．,,,,,,,,,,,
SCS-TIMING-2,14,風力発電の種類,風力発電は設置場所により，地上に設置される陸上型と海や湖などに設置される洋上型に分かれます．さらに洋上風力発電には，海底に支柱を埋め込み固定する「着床式」と海中に浮きのような構造物を建設し，その上に発電機を設置する「浮体型」とがあります．,,,,,,,,,,,
SCS-TIMING-3,1,スティーブン・スピルバーグがどのような人か,スティーヴン・スピルバーグは1946年12月18日生まれ．アメリカ合衆国の映画監督，映画プロデューサー．アメリカ映画アカデミー会員．大英帝国勲章（KBE） 受章．フォーブスの「アメリカで最も裕福なセレブリティ」2位の人物です．,,,,,,,,,,,
SCS-TIMING-3,2,スティーブン・スピルバーグの有名な作品, ジョーズ，E.T.，インディ・ジョーンズシリーズ，ジュラシック・パークが有名な作品です．,,,,,,,,,,,
SCS-TIMING-3,3,スティーブン・スピルバーグの最高傑作,子供だけでなく大人の心も鷲掴みにした，スティーブン・スピルバーグ監督の最高傑作ジュラシック・パークです．,,,,,,,,,,,
SCS-TIMING-3,4,スティーブン・スピルバーグの作品数,全37作品です．,,,,,,,,,,,
SCS-TIMING-3,5,スティーブン・スピルバーグのNetflixで見れる映画,アミスタッド，ターミナル，フック，スーパーエイトなどがあります．,,,,,,,,,,,
SCS-TIMING-3,6,スティーブン・スピルバーグの最新作,ウエスト・サイド・ストーリーです．2022年２月11日から上映されました．,,,,,,,,,,,
SCS-TIMING-3,7,スティーブン・スピルバーグの興行成績,監督としては，世界最高のヒットメーカーの一人として挙げられます．監督作品の全米生涯興行収入は2018年現在で計46億3660万ドル（約4974億円）に達しており，歴代1位を記録しています．,,,,,,,,,,,
SCS-TIMING-3,8,スティーブン・スピルバーグの年齢,76歳です．,,,,,,,,,,,
SCS-TIMING-3,9,スティーブン・スピルバーグ監督の受賞歴,アカデミー監督賞，アカデミー作品賞，ゴールデングローブ賞等様々な賞を受賞しています．これまでに3度のアカデミー賞に輝き，全米監督組合賞では映画監督の誰よりも多いノミネート回数です．世界中で称賛され，計７個のオスカーに輝いたシンドラーのリストでアカデミー賞®最優秀監督賞および最優秀作品賞を受賞しました．,,,,,,,,,,,
SCS-TIMING-3,10,スティーブン・スピルバーグの婚姻歴,スピルバーグ監督はこれまでに2回結婚しています．実子，養子あわせて7人の子供がいます．,,,,,,,,,,,
SCS-TIMING-3,11,スティーブン・スピルバーグが評価されている理由,オカルティックや神秘的なものに対する根源的な好奇心であり，鋭い洞察力に裏打ちされた類いまれな探究心です．このような資質が映画に色濃く表れているために，ハリウッドにおいて評価されています．,,,,,,,,,,,
SCS-TIMING-3,12,スティーブン・スピルバーグ監督作品の中で人気の低い映画,映画ランキングサイトによると，2005年，トムクルーズ主演の宇宙戦争です．古典的なストーリーや，登場人物が現実離れしているところが低評価の理由です．,,,,,,,,,,,
